name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
Khe Sanh Combat Base,,army_base,16.65420,106.72423,,Quảng Trị,https://en.wikipedia.org/wiki/Khe_Sanh_Combat_Base,medium,from: army+marine
Kiến Đức,Kien Duc,town,11.99639,107.51194,,Đắk Nông,https://en.wikipedia.org/wiki/Ki%E1%BA%BFn_%C4%90%E1%BB%A9c,medium,from: town
Kiên Hải,Kien Hai|Kiên Hải special administrative region|Kien Hai District|Kiên Hải District|Kiên Hải district,town,10.00000,104.75000,,,https://en.wikipedia.org/wiki/Ki%C3%AAn_H%E1%BA%A3i,medium,from: town
Kiên Lương,Kien Luong,town,10.26505,104.61209,,Kiên Giang,https://en.wikipedia.org/wiki/Ki%C3%AAn_L%C6%B0%C6%A1ng,medium,from: town; coord via Wikidata P625
Kiến Tường,History of Kiến Tường|Kien Tuong|Kiến Tường district-level town|Kiến Tường (district-level town),town,10.78000,105.94000,,Long An,https://en.wikipedia.org/wiki/Ki%E1%BA%BFn_T%C6%B0%E1%BB%9Dng,medium,from: town
Kông Chro,Kong Chro,town,13.77889,108.52611,,Gia Lai,https://en.wikipedia.org/wiki/K%C3%B4ng_Chro,medium,from: town
Kontum Airfield,,airbase,14.35583,108.01500,,Kon Tum,https://en.wikipedia.org/wiki/Kontum_Airfield,medium,from: army
"Krông Nô, Lâm Đồng","Krông Nô|Đắk Mâm|Krong No, Lam Dong",town,12.46417,107.85972,,Đắk Nông,https://en.wikipedia.org/wiki/Kr%C3%B4ng_N%C3%B4%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
La Dạ,Da Mi|Đa Mi|La Da,town,11.30333,107.87694,,Bình Thuận,https://en.wikipedia.org/wiki/La_D%E1%BA%A1,medium,from: town
La Vang,Lavang,town,16.71667,107.23333,,Quảng Trị,https://en.wikipedia.org/wiki/La_Vang,medium,from: town
Lang Biang – Đà Lạt,Lang Biang - Đà Lạt|Lang Biang – Da Lat,town,12.00867,108.41904,,Lâm Đồng,https://en.wikipedia.org/wiki/Lang_Biang_%E2%80%93_%C4%90%C3%A0_L%E1%BA%A1t,medium,from: town
Liên Hương,Lien Huong,town,11.22389,108.73028,,Bình Thuận,https://en.wikipedia.org/wiki/Li%C3%AAn_H%C6%B0%C6%A1ng,medium,from: town
Long Bình Jail,Long Binh Jail,army_base,10.91731,106.86749,,Đồng Nai,https://en.wikipedia.org/wiki/Long_B%C3%ACnh_Jail,medium,from: army; coord via Wikidata P625
Long Binh Post,Long Binh military base|Long Binh Junction,army_base,10.93167,106.83746,,Đồng Nai,https://en.wikipedia.org/wiki/Long_Binh_Post,medium,from: army; coord via Wikidata P625
Long Xuyên,"Longxuyen|Thoai Ngoc Hau High School|Long Xuyen City|Long Xuyen|History of Long Xuyên|Long Xuyên provincial city|Long Xuyên (provincial city)|Long Xuyên, Mekong Delta|Long Xuyên (city)",city,10.37361,105.44583,,An Giang,https://en.wikipedia.org/wiki/Long_Xuy%C3%AAn,medium,from: city
"Mai Xá, Gio Mai","Mai Xa, Gio Mai|Mai Xa",town,16.87870,107.13250,,Quảng Trị,https://en.wikipedia.org/wiki/Mai_X%C3%A1%2C_Gio_Mai,medium,from: town
Măng Đen,Mang Den,town,14.60028,108.29083,,Kon Tum,https://en.wikipedia.org/wiki/M%C4%83ng_%C4%90en,medium,from: town
"Mang Yang, Gia Lai",Kon Dơng,town,14.04278,108.25472,,Gia Lai,https://en.wikipedia.org/wiki/Mang_Yang%2C_Gia_Lai,medium,from: town
Marble Mountain Air Facility,Marble Mountain Airfield|Marble Mountain Army Airfield,marine_base,16.02594,108.25347,,Đà Nẵng,https://en.wikipedia.org/wiki/Marble_Mountain_Air_Facility,medium,from: marine
Mộ Đức,Mo Duc,town,14.93750,108.89056,,Quảng Ngãi,https://en.wikipedia.org/wiki/M%E1%BB%99_%C4%90%E1%BB%A9c,medium,from: town
Mũi Né,Mui Ne,town,10.93333,108.28333,,Bình Thuận,https://en.wikipedia.org/wiki/M%C5%A9i_N%C3%A9,medium,from: town
Mỹ Tho (city),Mỹ Tho provincial city|Mỹ Tho (provincial city)|Mỹ Tho City|My Tho (city),city,10.35806,106.36417,,Tiền Giang,https://en.wikipedia.org/wiki/M%E1%BB%B9_Tho_(city),medium,from: city
Nam Nha Trang,"Vĩnh Trường, Nha Trang|Phước Long, Nha Trang|Phước Hải, Nha Trang|Phước Đồng|Vĩnh Thái, Nha Trang",town,12.22667,109.15917,,Khánh Hòa,https://en.wikipedia.org/wiki/Nam_Nha_Trang,medium,from: town
