name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
A Lưới Camp,A Luoi Camp,camp,16.26861,107.22861,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/A_L%C6%B0%E1%BB%9Bi_Camp,medium,from: army
An Hoa Combat Base,,marine_base,15.78500,108.07300,,Quảng Nam,https://en.wikipedia.org/wiki/An_Hoa_Combat_Base,medium,from: marine; coord via Wikidata P625
An Khê,An Khe|An Khe District|An Khê Town|An Khê District|An Khê district-level town,town,13.95306,108.65694,,Gia Lai,https://en.wikipedia.org/wiki/An_Kh%C3%AA,medium,from: town
"An Lão, Gia Lai","An Lão, Bình Định|An Lao, Gia Lai",town,14.61083,108.89194,,Bình Định,https://en.wikipedia.org/wiki/An_L%C3%A3o%2C_Gia_Lai,medium,from: town
"An Nhơn, Bình Định","An Nhon District|An Nhơn Town|An Nhơn District|An Nhơn district|An Nhon, Binh Dinh",town,13.91700,109.08300,,Bình Định,https://en.wikipedia.org/wiki/An_Nh%C6%A1n%2C_B%C3%ACnh_%C4%90%E1%BB%8Bnh,medium,from: town
"An Nhơn, Gia Lai","Dap Da|Đập Đá|An Nhon, Gia Lai",town,13.92028,109.09139,,Bình Định,https://en.wikipedia.org/wiki/An_Nh%C6%A1n%2C_Gia_Lai,medium,from: town
Ayun Pa,Cheo Reo|A Yun Pa|Ayun Pa District|Hậu Bổn|Hau Bon|Ayun Pa district-level town,town,13.39389,108.44083,,Gia Lai,https://en.wikipedia.org/wiki/Ayun_Pa,medium,from: town
Ba Đồn,Ba Don|Ba Đồn district-level town,town,17.75472,106.42306,,Quảng Bình,https://en.wikipedia.org/wiki/Ba_%C4%90%E1%BB%93n,medium,from: town; coord via Wikidata P625
Bà Rịa,"Ba Ria|Bà Rịa, Bà Rịa-Vũng Tàu|Bà Rịa, Bà Rịa–Vũng Tàu|Bà Rịa (city)",city,10.49917,107.16750,,Bà Rịa–Vũng Tàu,https://en.wikipedia.org/wiki/B%C3%A0_R%E1%BB%8Ba,medium,from: city
"Bắc Bình, Lâm Đồng","Bắc Bình|Chợ Lầu|Bac Binh, Lam Dong",town,11.22083,108.50972,,Bình Thuận,https://en.wikipedia.org/wiki/B%E1%BA%AFc_B%C3%ACnh%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Bắc Nha Trang,"Vĩnh Thọ, Nha Trang|Vĩnh Phước, Nha Trang|Vĩnh Hòa, Nha Trang|Vĩnh Phương|Vĩnh Lương|Vĩnh Hải, Nha Trang|Bac Nha Trang",town,12.28139,109.18972,,Khánh Hòa,https://en.wikipedia.org/wiki/B%E1%BA%AFc_Nha_Trang,medium,from: town
Ban Me Thuot East Airfield,,airbase,12.66583,108.11778,,Đắk Lắk,https://en.wikipedia.org/wiki/Ban_Me_Thuot_East_Airfield,medium,from: usaf
Bảo Lộc,Bảo Lộc District|Bao Loc District|Bảo Lộc city|Bao Loc,town,11.54806,107.80750,,Lâm Đồng,https://en.wikipedia.org/wiki/B%E1%BA%A3o_L%E1%BB%99c,medium,from: town
Bearcat Base,,army_base,10.83500,106.96000,,Đồng Nai,https://en.wikipedia.org/wiki/Bearcat_Base,medium,from: army
Ben Het Camp,,camp,14.68861,107.66111,,Kon Tum,https://en.wikipedia.org/wiki/Ben_Het_Camp,medium,from: army
Biên Hòa,Bienhua|Biên Hoà|Bien Hoa City|Bien Hoa|Biênhoà|Bienhoa|Biên Hòa City|History of Biên Hòa|Biên Hòa provincial city,city,10.95000,106.81667,,Đồng Nai,https://en.wikipedia.org/wiki/Bi%C3%AAn_H%C3%B2a,medium,from: city
Bien Hoa Air Base,Bien Hoa AB|Biên Hòa Air Base|Bien Hoa Airport,airbase,10.97694,106.81833,,Đồng Nai,https://en.wikipedia.org/wiki/Bien_Hoa_Air_Base,medium,from: army+usaf
"Bình Dương, Gia Lai","Bình Dương, Bình Định|Binh Duong, Gia Lai",town,14.29444,109.07972,,Bình Định,https://en.wikipedia.org/wiki/B%C3%ACnh_D%C6%B0%C6%A1ng%2C_Gia_Lai,medium,from: town
Bình Minh,Binh Minh District|Bình Minh District|Bình Minh district-level town|Binh Minh|Bình Minh (town),town,10.13300,105.83300,,Vĩnh Long,https://en.wikipedia.org/wiki/B%C3%ACnh_Minh,medium,from: town
Binh Thuy Air Base,Binh Thuy AB,airbase,10.08520,105.71200,,Cần Thơ,https://en.wikipedia.org/wiki/Binh_Thuy_Air_Base,medium,from: usaf
Black Virgin Mountain,Ba Den|Nui Ba Den|Black virgin mountain|Black Virgin Mountain (Vietnam)|Bà Đen Mountain|Nui Ba Den gondola,army_base,11.36667,106.16667,,Tây Ninh,https://en.wikipedia.org/wiki/Black_Virgin_Mountain,medium,from: army
Blackhorse Base Camp,Camp Blackhorse,camp,10.82700,107.22900,,Đồng Nai,https://en.wikipedia.org/wiki/Blackhorse_Base_Camp,medium,from: army
Bồng Sơn,Bong Son,town,14.43333,109.01667,,Bình Định,https://en.wikipedia.org/wiki/B%E1%BB%93ng_S%C6%A1n,medium,from: town
Bù Đốp Camp,Bu Dop Camp,camp,12.01861,106.81444,,Bình Phước,https://en.wikipedia.org/wiki/B%C3%B9_%C4%90%E1%BB%91p_Camp,medium,from: army
Bu Prang Camp,,camp,12.23800,107.31600,,Đắk Nông,https://en.wikipedia.org/wiki/Bu_Prang_Camp,medium,from: army
Buôn Hồ,Buon Ho|Phường Buôn Hồ|Buôn Hồ district-level town,town,12.85440,108.27030,,Đắk Lắk,https://en.wikipedia.org/wiki/Bu%C3%B4n_H%E1%BB%93,medium,from: town
Buôn Ma Thuột,Buon Me Thuot|Ban Me Thuot|Buonmathuot|Ban Me Thout|Buon Ma Thout|Lac Giao|Buon Ma Thuot|Buôn Ma Thuột city|Ban Mê Thuột|Buôn Mê Thuột|Phường Buôn Ma Thuột|Thành phố Buôn Ma Thuột|Buôn Ma Thuột provincial city,city,12.66667,108.05000,,Đắk Lắk,https://en.wikipedia.org/wiki/Bu%C3%B4n_Ma_Thu%E1%BB%99t,medium,from: city
Ca Lu Combat Base,Ca Lu,marine_base,16.69209,106.88569,,Quảng Trị,https://en.wikipedia.org/wiki/Ca_Lu_Combat_Base,medium,from: marine; coord via Wikidata P625
Cà Mau (city),Ca Mau city|Ca Mau City|Ca Mau (city)|Cà Mau City,city,9.18333,105.15000,,Cà Mau,https://en.wikipedia.org/wiki/C%C3%A0_Mau_(city),medium,from: city+town
Cai Cai Camp,,camp,10.92580,105.51000,,Đồng Tháp,https://en.wikipedia.org/wiki/Cai_Cai_Camp,medium,from: army
"Cai Lậy, Tiền Giang","Cai Lậy Town|Cai Lậy (town)|Cai Lậy district-level town|Cai Lậy (district-level town)|Cai Lậy, Mekong Delta|Cai Lậy town|Cai Lay, Tien Giang",town,10.41700,106.08300,,Tiền Giang,https://en.wikipedia.org/wiki/Cai_L%E1%BA%ADy%2C_Ti%E1%BB%81n_Giang,medium,from: town
Cam Lộ Combat Base,Cam Lo Combat Base,army_base,16.81200,106.99300,,Quảng Trị,https://en.wikipedia.org/wiki/Cam_L%E1%BB%99_Combat_Base,medium,from: army+marine
Cam Ranh Base,Cam Ranh Bay Air Base|Cam Ranh AB|Cam Ranh Bay AB|Cam Ranh Air Base|Cam Ranh Air Force Base,airbase,11.99806,109.21944,,Khánh Hòa,https://en.wikipedia.org/wiki/Cam_Ranh_Base,medium,from: usaf
Camp Carroll,,camp,16.76306,106.93056,,Quảng Trị,https://en.wikipedia.org/wiki/Camp_Carroll,medium,from: marine
Camp Davies (Vietnam),Camp Davies|Camp Davis (Vietnam),camp,10.75800,106.73200,,Ho Chi Minh,https://en.wikipedia.org/wiki/Camp_Davies_(Vietnam),medium,from: army
Camp Eagle (Vietnam),,camp,16.40800,107.63100,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/Camp_Eagle_(Vietnam),medium,from: army
Camp Enari,,camp,13.86722,108.03611,,Gia Lai,https://en.wikipedia.org/wiki/Camp_Enari,medium,from: army
Camp Evans (Vietnam),,camp,16.56200,107.38000,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/Camp_Evans_(Vietnam),medium,from: army+marine
Camp Holloway,,camp,13.97300,108.03100,,Gia Lai,https://en.wikipedia.org/wiki/Camp_Holloway,medium,from: army
Camp Horn,,camp,16.07400,108.23600,,Đà Nẵng,https://en.wikipedia.org/wiki/Camp_Horn,medium,from: army+marine
Camp Radcliff,An Khe Airfield,camp,13.99300,108.64850,,Gia Lai,https://en.wikipedia.org/wiki/Camp_Radcliff,medium,from: army
Cần Thơ,Cân Thỏ|Can Tho province|Cantho|Can Tho City|Cần Thơ City|Cần Thơ Province|Can Tho Province|Can Tho|Canthô|Can Tho city|Cần Thơ province|Phong Dinh province|History of Cần Thơ,city,10.03333,105.78333,,Cần Thơ,https://en.wikipedia.org/wiki/C%E1%BA%A7n_Th%C6%A1,medium,from: city
Cao Lãnh,Cao Lanh|History of Cao Lãnh|Cao Lãnh City|Cao Lãnh (city)|Cao Lanh (city)|Cao Lãnh provincial city,city,10.46722,105.63028,,Đồng Tháp,https://en.wikipedia.org/wiki/Cao_L%C3%A3nh,medium,from: city+town
Cát Tiên,Cat Tien,town,11.58321,107.36215,,Lâm Đồng,https://en.wikipedia.org/wiki/C%C3%A1t_Ti%C3%AAn,medium,from: town
Catecka Base Camp,,camp,13.86500,107.96200,,Gia Lai,https://en.wikipedia.org/wiki/Catecka_Base_Camp,medium,from: army
Charlie 2,,army_base,16.85500,107.00500,,Quảng Trị,https://en.wikipedia.org/wiki/Charlie_2,medium,from: army+marine
Châu Đốc,Chau Doc|History of Châu Đốc|Chaudoc|Châu Phú B|Châu Đốc provincial city|Châu Đốc (city),town,10.70000,105.11667,,An Giang,https://en.wikipedia.org/wiki/Ch%C3%A2u_%C4%90%E1%BB%91c,medium,from: town
Chi Lăng Training Center,Chi Lang Training Center,army_base,10.52700,105.02400,,An Giang,https://en.wikipedia.org/wiki/Chi_L%C4%83ng_Training_Center,medium,from: army
Chí Linh Camp,Chi Linh Camp,camp,11.51400,106.75490,,Bình Phước,https://en.wikipedia.org/wiki/Ch%C3%AD_Linh_Camp,medium,from: army
Chợ Thủ,Cho Thu,town,10.53611,105.46889,,An Giang,https://en.wikipedia.org/wiki/Ch%E1%BB%A3_Th%E1%BB%A7,medium,from: town
Chơn Thành Camp,Chon Thanh Camp,camp,11.40200,106.61950,,Bình Phước,https://en.wikipedia.org/wiki/Ch%C6%A1n_Th%C3%A0nh_Camp,medium,from: army
Chu Lai Air Base,,airbase,15.40611,108.70556,,Quảng Nam,https://en.wikipedia.org/wiki/Chu_Lai_Air_Base,medium,from: marine; coord via Wikidata P625
Chu Lai Base Area,Kỳ Hà Air Facility|Ky Ha Air Facility,army_base,15.45500,108.69000,,Quảng Nam,https://en.wikipedia.org/wiki/Chu_Lai_Base_Area,medium,from: army+marine
"Chư Păh, Gia Lai","Phú Hòa, Gia Lai|Chu Pah, Gia Lai",town,14.10167,107.97306,,Gia Lai,https://en.wikipedia.org/wiki/Ch%C6%B0_P%C4%83h%2C_Gia_Lai,medium,from: town
Chư Prông,Chu Prong,town,13.75444,107.88639,,Gia Lai,https://en.wikipedia.org/wiki/Ch%C6%B0_Pr%C3%B4ng,medium,from: town
Chư Pưh,"Nhơn Hòa, Gia Lai|Chu Puh",town,13.54667,108.09972,,Gia Lai,https://en.wikipedia.org/wiki/Ch%C6%B0_P%C6%B0h,medium,from: town
Chư Sê,Chu Se,town,13.69361,108.07778,,Gia Lai,https://en.wikipedia.org/wiki/Ch%C6%B0_S%C3%AA,medium,from: town
Con Thien,Con Tien,marine_base,16.90972,106.98000,,Quảng Trị,https://en.wikipedia.org/wiki/Con_Thien,medium,from: marine
Củ Chi Base Camp,Cu Chi Base Camp,camp,10.98750,106.51250,,Ho Chi Minh,https://en.wikipedia.org/wiki/C%E1%BB%A7_Chi_Base_Camp,medium,from: army
"Cư Jút, Lâm Đồng","Ea T'ling|Cu Jut, Lam Dong",town,12.58667,107.89361,,Đắk Nông,https://en.wikipedia.org/wiki/C%C6%B0_J%C3%BAt%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Cửa Việt Base,Cua Viet Base,army_base,16.90500,107.18700,,Quảng Trị,https://en.wikipedia.org/wiki/C%E1%BB%ADa_Vi%E1%BB%87t_Base,medium,from: army+marine
Da Lat,"Đà Lạt|Dalat, Vietnam|Đà-lạt|History of Da Lat|Da Lat, Vietnam",city,11.94167,108.43833,,Lâm Đồng,https://en.wikipedia.org/wiki/Da_Lat,medium,from: city+town
Da Nang,"Tourane|Danang, Vietnam|Đà Nẵng|Ðà Nang|Da Nang, Vietnam|Thanh pho Da Nang|Da-Nang|沱灢|Ðà Nẵng|Names of Da Nang|History of Danang|Danang|History of Da Nang|Geography of Da Nang|Da nang|Cuisine of Da Nang|Đà Nẵng City|Đà Nẵng province",city,16.06944,108.20972,,Đà Nẵng,https://en.wikipedia.org/wiki/Da_Nang,medium,from: city
Da Nang Air Base,Da Nang AB|Danang Air Base,airbase,16.04389,108.19944,,Đà Nẵng,https://en.wikipedia.org/wiki/Da_Nang_Air_Base,medium,from: army+usaf
Đạ Tẻh,Da Teh,town,11.50667,107.48639,,Lâm Đồng,https://en.wikipedia.org/wiki/%C4%90%E1%BA%A1_T%E1%BA%BBh,medium,from: town
Đak Đoa,Đắk Đoa|Dak Doa,town,13.99389,108.11611,,Gia Lai,https://en.wikipedia.org/wiki/%C4%90ak_%C4%90oa,medium,from: town
Đắk Mil,Dak Mil,town,12.44889,107.62056,,Đắk Nông,https://en.wikipedia.org/wiki/%C4%90%E1%BA%AFk_Mil,medium,from: town
Đăk Pék,Đắk Glei|Đăk Glei|Dak Glei|Dak Pek,town,15.07833,107.73917,,Kon Tum,https://en.wikipedia.org/wiki/%C4%90%C4%83k_P%C3%A9k,medium,from: town
Dak Pek Camp,,camp,15.07500,107.73889,,Kon Tum,https://en.wikipedia.org/wiki/Dak_Pek_Camp,medium,from: army
Đak Pơ,Đắk Pơ|Dak Po,town,13.97306,108.55278,,Gia Lai,https://en.wikipedia.org/wiki/%C4%90ak_P%C6%A1,medium,from: town
Đăk Tô,"Dak To|Đắk Tô|Dak To, Kon Tum Province",town,14.66083,107.83861,,Kon Tum,https://en.wikipedia.org/wiki/%C4%90%C4%83k_T%C3%B4,medium,from: town
Đắk Tô Base Camp,Dak To Base Camp,camp,14.65300,107.79400,,Kon Tum,https://en.wikipedia.org/wiki/%C4%90%E1%BA%AFk_T%C3%B4_Base_Camp,medium,from: army; coord via Wikidata P625
Dĩ An Base Camp,Di An Base Camp,camp,10.90000,106.73900,,Bình Dương,https://en.wikipedia.org/wiki/D%C4%A9_An_Base_Camp,medium,from: army; coord via Wikidata P625
Di Linh,,town,11.57778,108.07509,,Lâm Đồng,https://en.wikipedia.org/wiki/Di_Linh,medium,from: town
Diên Khánh,Dien Khanh,town,12.26250,109.09833,,Khánh Hòa,https://en.wikipedia.org/wiki/Di%C3%AAn_Kh%C3%A1nh,medium,from: town; coord via Wikidata P625
Đông Hà,Dong Ha|Dongha|History of Đông Hà|Đông Hà provincial city,city,16.80556,107.09056,,Quảng Trị,https://en.wikipedia.org/wiki/%C4%90%C3%B4ng_H%C3%A0,medium,from: city+town; coord via Wikidata P625
Đông Hà Combat Base,Dong Ha Combat Base,army_base,16.81300,107.11600,,Quảng Trị,https://en.wikipedia.org/wiki/%C4%90%C3%B4ng_H%C3%A0_Combat_Base,medium,from: army+marine; coord via Wikidata P625
"Đông Hòa, Phú Yên","Dong Hoa District|Đông Hòa (town)|Đông Hòa District|Đông Hòa district|Dong Hoa, Phu Yen",town,12.99306,109.33139,,Phú Yên,https://en.wikipedia.org/wiki/%C4%90%C3%B4ng_H%C3%B2a%2C_Ph%C3%BA_Y%C3%AAn,medium,from: town
Đồng Hới,Đồng Hới city|Dong Hoi|Đồng Hới District|History of Đồng Hới|Đồng Hới provincial city,city,17.48306,106.59972,,Quảng Bình,https://en.wikipedia.org/wiki/%C4%90%E1%BB%93ng_H%E1%BB%9Bi,medium,from: city+town
Đồng Tâm Base Camp,Dong Tam Base Camp,camp,10.35000,106.29000,,Tiền Giang,https://en.wikipedia.org/wiki/%C4%90%E1%BB%93ng_T%C3%A2m_Base_Camp,medium,from: army; coord via Wikidata P625
Đông Thái,Dong Thai,town,9.76111,105.00639,,Kiên Giang,https://en.wikipedia.org/wiki/%C4%90%C3%B4ng_Th%C3%A1i,medium,from: town
Đồng Xoài,"Đôn Luân|Dong Xoai|Đôn Luân District|Đồng Xoài provincial city|Đồng Xoài, Bình Phước",city,11.51694,106.83917,,Bình Phước,https://en.wikipedia.org/wiki/%C4%90%E1%BB%93ng_Xo%C3%A0i,medium,from: city
Đức An,Duc An,town,12.25444,107.61111,,Đắk Nông,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_An,medium,from: town
Đức Cơ Camp,Duc Co Camp,camp,13.78800,107.62700,,Gia Lai,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_C%C6%A1_Camp,medium,from: army
"Đức Cơ, Gia Lai","Chư Ty|Duc Co, Gia Lai",town,13.79806,107.69361,,Gia Lai,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_C%C6%A1%2C_Gia_Lai,medium,from: town
"Đức Linh, Lâm Đồng","Đức Linh|Võ Xu|Duc Linh, Lam Dong",town,11.18778,107.56667,,Bình Thuận,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Linh%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Đức Phổ Base Camp,Duc Pho Base Camp,camp,11.80000,107.23000,,Bình Phước,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Ph%E1%BB%95_Base_Camp,medium,from: army+marine
Đức Phong Camp,Duc Phong Camp,camp,11.80000,107.23000,,Bình Phước,https://en.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Phong_Camp,medium,from: army
Firebase Bastogne,,firebase,16.35556,107.44861,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/Firebase_Bastogne,medium,from: army; coord via Wikidata P625
Firebase Crook,,firebase,11.39000,105.97000,,Tây Ninh,https://en.wikipedia.org/wiki/Firebase_Crook,medium,from: army; coord via Wikidata P625
Firebase Gio Linh,,firebase,16.94300,107.07600,,Quảng Trị,https://en.wikipedia.org/wiki/Firebase_Gio_Linh,medium,from: army+marine; coord via Wikidata P625
Firebase Pedro,,firebase,16.71000,107.10600,,Quảng Trị,https://en.wikipedia.org/wiki/Firebase_Pedro,medium,from: army; coord via Wikidata P625
Gia Nghĩa,Gia Nghia|Gia Nghĩa provincial city,city,11.98333,107.70000,,Đắk Nông,https://en.wikipedia.org/wiki/Gia_Ngh%C4%A9a,medium,from: city+town
Gò Công,"Gò Công provincial city|Gò Công (city)|Gò Công City|Gò Công, Tiền Giang|Go Cong",town,10.36667,106.66667,,Tiền Giang,https://en.wikipedia.org/wiki/G%C3%B2_C%C3%B4ng,medium,from: town
Hà Tiên,"Ha-tien|Hà Tiên, Kiên Giang|Ha Tien,Kien Giang|Hatien|Ha Tien, Kien Giang|Ha Tien|Hà Tiên District|History of Hà Tiên|Hà Tiên provincial city",town,10.38333,104.48333,,Kiên Giang,https://en.wikipedia.org/wiki/H%C3%A0_Ti%C3%AAn,medium,from: town
"Hải Ninh, Lâm Đồng","Hải Ninh, Bình Thuận|Hai Ninh, Lam Dong",town,11.24903,108.50449,,Bình Thuận,https://en.wikipedia.org/wiki/H%E1%BA%A3i_Ninh%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town; coord via Wikidata P625
